id;matricul;first_name;last_name;email;phone_number
1;18651;Maurice;Bauch;Lance.Hane1@hotmail.com;71114
2;51209;Raleigh;Fahey;Lula94@yahoo.com;69093
3;39757;Gerson;Larson;Rodolfo.Conn73@hotmail.com;11347
4;20907;Thurman;Lindgren;Maurice65@hotmail.com;17495
5;81722;Willis;Luettgen;Junius99@yahoo.com;9310
6;96541;Spencer;Lynch;Shany33@hotmail.com;27887
7;34920;Maxine;Reinger;Spencer.Steuber77@hotmail.com;88777
8;64203;Rowena;Boehm;Carolyne_Schaden60@hotmail.com;58068
9;919;Gage;Brakus;Malachi28@hotmail.com;16080
10;30536;Katelynn;Kuhic;Isaias.OHara17@hotmail.com;71217
